team,player,club,club_country,club_with_country,position,date_of_birth,age,age_as_of,age_source,age_source_url,fc26_ovr,rating_source,rating_confidence,notes,source_url,rating_url,headshot_url,last_verified_at
Spain,Mikel Merino,Arsenal,England,Arsenal [England],CM,1996-06-22,30,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/mikel-merino-225193,83,EA official (per prior chat),medium,"Powerful, smart, coach-friendly midfielder; not flashy but very useful.",,https://www.fcratings.com/mikel-merino-225193,https://www.fcratings.com/assets/images/post/225193.png,2026-06-26
Spain,Pedri,Barcelona,Spain,Barcelona [Spain],CM / AM,2002-11-25,23,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/pedri-251854,89,EA official (per prior chat),medium,One of Spain's biggest pure talents; elegant and very popular.,,https://www.fcratings.com/pedri-251854,https://www.fcratings.com/assets/images/post/251854.png,2026-06-26
Spain,Alex Baena,Atletico Madrid,Spain,Atletico Madrid [Spain],AM / LW / CM,2001-07-20,24,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/alex-baena-257279,84,EA official (per prior chat),medium,"Creative, clever, dangerous between lines; less famous than Yamal or Pedri.",,https://www.fcratings.com/alex-baena-257279,https://www.fcratings.com/assets/images/post/257279.png,2026-06-26
Spain,Lamine Yamal,Barcelona,Spain,Barcelona [Spain],RW,2007-07-13,18,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/lamine-yamal-277643,89,EA official (per prior chat),medium,"Spain's headline wonderkid; globally hyped, electric and mature.",,https://www.fcratings.com/lamine-yamal-277643,https://www.fcratings.com/assets/images/post/277643.png,2026-06-26
Spain,Mikel Oyarzabal,Real Sociedad,Spain,Real Sociedad [Spain],CF / LW,1997-04-21,29,2026-06-27,Wikipedia infobox bday,https://en.wikipedia.org/wiki/Mikel_Oyarzabal,82,EA official (per prior chat),medium,"Intelligent, clinical, big-game Spain player; less glamorous but trusted.",,https://www.fcratings.com/oyarzabal-230142,https://www.fcratings.com/assets/images/post/230142.png,2026-06-27
Argentina,Emiliano Martinez,Aston Villa,England,Aston Villa [England],GK,1992-09-02,33,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/emiliano-martinez-202811,85,EA official (per prior chat),medium,Huge personality and one of Argentina's most recognizable post-2022 heroes.,,https://www.fcratings.com/emiliano-martinez-202811,https://www.fcratings.com/assets/images/post/202811.png,2026-06-26
Argentina,Gonzalo Montiel,River Plate,Argentina,River Plate [Argentina],RB,1997-01-01,29,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/gonzalo-montiel-231340,78,EA official/third-party mixed (per prior chat),low,Cult hero for scoring the 2022 World Cup-winning penalty.,,https://www.fcratings.com/gonzalo-montiel-231340,https://www.fcratings.com/assets/images/post/231340.png,2026-06-26
Argentina,Nicolas Otamendi,Benfica,Portugal,Benfica [Portugal],CB,1988-02-12,38,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/nicolas-otamendi-192366,82,EA official (per prior chat),medium,Veteran warrior; respected for leadership and toughness.,,https://www.fcratings.com/nicolas-otamendi-192366,https://www.fcratings.com/assets/images/post/192366.png,2026-06-26
Argentina,Marcos Senesi,Bournemouth,England,Bournemouth [England],CB,1997-05-10,29,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/marcos-senesi-236506,78,EA official/third-party mixed (per prior chat),low,Strong Premier League-level defender; technically clean and reliable.,,https://www.fcratings.com/marcos-senesi-236506,https://www.fcratings.com/assets/images/post/236506.png,2026-06-26
Argentina,Nicolas Tagliafico,Lyon,France,Lyon [France],LB,1992-08-31,33,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/nicolas-tagliafico-211256,78,EA official/third-party mixed (per prior chat),low,"Experienced, smart and relentless fullback; dependable tournament soldier.",,https://www.fcratings.com/nicolas-tagliafico-211256,https://www.fcratings.com/assets/images/post/211256.png,2026-06-26
Argentina,Giuliano Simeone,Atletico Madrid,Spain,Atletico Madrid [Spain],RM / winger,2002-12-18,23,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/giuliano-simeone-253396,81,EA official/third-party mixed (per prior chat),low,Rising high-energy name with obvious Simeone-family attention.,,https://www.fcratings.com/giuliano-simeone-253396,https://www.fcratings.com/assets/images/post/253396.png,2026-06-26
Argentina,Exequiel Palacios,Bayer Leverkusen,Germany,Bayer Leverkusen [Germany],CM,1998-10-05,27,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/exequiel-palacios-231521,84,EA official (per prior chat),medium,"Excellent, underrated midfielder; tactically sharp and press-resistant.",,https://www.fcratings.com/exequiel-palacios-231521,https://www.fcratings.com/assets/images/post/231521.png,2026-06-26
Argentina,Leandro Paredes,Boca Juniors,Argentina,Boca Juniors [Argentina],CM / DM,1994-06-29,31,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/leandro-paredes-207439,78,EA official/third-party mixed (per prior chat),low,"Well-known veteran passer, tempo-controller and shithouser.",,https://www.fcratings.com/leandro-paredes-207439,https://www.fcratings.com/assets/images/post/207439.png,2026-06-26
Argentina,Giovani Lo Celso,Real Betis,Spain,Real Betis [Spain],CAM / CM,1996-04-09,30,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/giovani-lo-celso-226226,82,EA official (per prior chat),medium,Gifted creative midfielder; reputation shaped by injuries and consistency.,,https://www.fcratings.com/giovani-lo-celso-226226,https://www.fcratings.com/assets/images/post/226226.png,2026-06-26
Argentina,Julian Alvarez,Atletico Madrid,Spain,Atletico Madrid [Spain],ST / second striker,2000-01-31,26,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/julian-alvarez-246191,87,EA official (per prior chat),medium,One of Argentina's biggest current stars after Messi and Lautaro.,,https://www.fcratings.com/julian-alvarez-246191,https://www.fcratings.com/assets/images/post/246191.png,2026-06-26
Argentina,Jose Manuel Lopez,Palmeiras,Brazil,Palmeiras [Brazil],ST,2000-12-06,25,2026-06-27,Wikipedia infobox bday,https://en.wikipedia.org/wiki/Jos%C3%A9_Manuel_L%C3%B3pez_(footballer),79,third-party FC database (per prior chat),low,Big physical in-form striker; less internationally famous but interesting squad pick.,,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Flaco-Lopez-Palmeiras-Juventude-jun24.jpg/250px-Flaco-Lopez-Palmeiras-Juventude-jun24.jpg,2026-06-27
Argentina,Lautaro Martinez,Inter Milan,Italy,Inter Milan [Italy],ST,1997-08-22,28,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/lautaro-martinez-231478,88,EA official (Lombardia FC licensing; per prior chat),medium,"Argentina's best pure striker; sharp finisher, aggressive presser, elite movement.",,https://www.fcratings.com/lautaro-martinez-231478,https://www.fcratings.com/assets/images/post/231478.png,2026-06-26
Argentina,Lionel Messi,Inter Miami CF,United States,Inter Miami CF [United States],RW / CAM / second striker,1987-06-24,39,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/lionel-messi-158023,86,EA official (per prior chat),medium,"The legend; Argentina's biggest name by miles, with elite touch, passing and aura.",,https://www.fcratings.com/lionel-messi-158023,https://www.fcratings.com/assets/images/post/158023.png,2026-06-26
France,Mike Maignan,AC Milan,Italy,AC Milan [Italy],GK,1995-07-03,30,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/mike-maignan-215698,87,EA official (per prior chat),medium,Core starter; one of the world's best goalkeepers.,,https://www.fcratings.com/mike-maignan-215698,https://www.fcratings.com/assets/images/post/215698.png,2026-06-26
France,Jules Kounde,Barcelona,Spain,Barcelona [Spain],RB / CB,1998-11-12,27,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/jules-kounde-241486,87,EA official (per prior chat),medium,Elite defensive fullback/centre-back hybrid; tactically top-tier.,,https://www.fcratings.com/jules-kounde-241486,https://www.fcratings.com/assets/images/post/241486.png,2026-06-26
France,William Saliba,Arsenal,England,Arsenal [England],CB,2001-03-24,25,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/william-saliba-243715,87,EA official (per prior chat),medium,Probably France's most complete defender; widely rated world-class.,,https://www.fcratings.com/william-saliba-243715,https://www.fcratings.com/assets/images/post/243715.png,2026-06-26
France,Dayot Upamecano,Bayern Munich,Germany,Bayern Munich [Germany],CB,1998-10-27,27,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/dayot-upamecano-229558,85,EA official (per prior chat),medium,"Physically dominant and fast, with very high ceiling.",,https://www.fcratings.com/dayot-upamecano-229558,https://www.fcratings.com/assets/images/post/229558.png,2026-06-26
France,Theo Hernandez,Al-Hilal,Saudi Arabia,Al-Hilal [Saudi Arabia],LB,1997-10-06,28,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/theo-hernandez-232656,84,EA official (per prior chat),medium,Explosive attacking left-back; famous for pace and directness.,,https://www.fcratings.com/theo-hernandez-232656,https://www.fcratings.com/assets/images/post/232656.png,2026-06-26
France,Aurelien Tchouameni,Real Madrid,Spain,Real Madrid [Spain],CDM / CM,2000-01-27,26,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/aurelien-tchouameni-241637,84,EA official (per prior chat),medium,Defensive anchor with elite positioning and passing.,,https://www.fcratings.com/aurelien-tchouameni-241637,https://www.fcratings.com/assets/images/post/241637.png,2026-06-26
France,Adrien Rabiot,AC Milan,Italy,AC Milan [Italy],CM,1995-04-03,31,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/adrien-rabiot-210008,83,EA official (per prior chat),medium,"Experienced, physical and useful in tournament football.",,https://www.fcratings.com/adrien-rabiot-210008,https://www.fcratings.com/assets/images/post/210008.png,2026-06-26
France,Michael Olise,Bayern Munich,Germany,Bayern Munich [Germany],RM / RW / AM,2001-12-12,24,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/michael-olise-247827,86,EA official (per prior chat),medium,Elegant creator with a fantastic left foot; one of France's most exciting players.,,https://www.fcratings.com/michael-olise-247827,https://www.fcratings.com/assets/images/post/247827.png,2026-06-26
France,Ousmane Dembele,PSG,France,PSG [France],RW / ST,1997-05-15,29,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/ousmane-dembele-231443,90,EA official (per prior chat),medium,"Electric, two-footed and unpredictable; terrifying when fit and sharp.",,https://www.fcratings.com/ousmane-dembele-231443,https://www.fcratings.com/assets/images/post/231443.png,2026-06-26
France,Kylian Mbappe,Real Madrid,Spain,Real Madrid [Spain],ST / LW,1998-12-20,27,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/kylian-mbappe-231747,91,EA official (per prior chat),medium,France's main superstar; global icon with absurd pace and finishing.,,https://www.fcratings.com/kylian-mbappe-231747,https://www.fcratings.com/assets/images/post/231747.png,2026-06-26
France,Bradley Barcola,PSG,France,PSG [France],LW,2002-09-02,23,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/bradley-barcola-264652,84,EA official (per prior chat),medium,Fast direct winger; next-wave French attacker.,,https://www.fcratings.com/bradley-barcola-264652,https://www.fcratings.com/assets/images/post/264652.png,2026-06-26
France,Desire Doue,PSG,France,PSG [France],RW / AM,2005-06-03,21,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/desire-doue-271421,85,EA official (per prior chat),medium,Huge technical talent; rising star rather than established icon.,,https://www.fcratings.com/desire-doue-271421,https://www.fcratings.com/assets/images/post/271421.png,2026-06-26
France,Marcus Thuram,Inter Milan,Italy,Inter Milan [Italy],ST / LW,1997-08-06,28,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/marcus-thuram-228093,85,EA official (per prior chat),medium,"Powerful, clever and versatile option for size and chaos.",,https://www.fcratings.com/marcus-thuram-228093,https://www.fcratings.com/assets/images/post/228093.png,2026-06-26
France,N'Golo Kante,Fenerbahce,Turkey,Fenerbahce [Turkey],CDM / CM,1991-03-29,35,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/ngolo-kante-215914,85,EA official (per prior chat),medium,Beloved legendary ball-winner; still iconic even past his peak.,,https://www.fcratings.com/ngolo-kante-215914,https://www.fcratings.com/assets/images/post/215914.png,2026-06-26
France,Ibrahima Konate,Liverpool,England,Liverpool [England],CB,1999-05-25,27,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/ibrahima-konate-237678,86,EA official (per prior chat),medium,"Big, fast and aggressive; good enough to start for many countries.",,https://www.fcratings.com/ibrahima-konate-237678,https://www.fcratings.com/assets/images/post/237678.png,2026-06-26
France,Rayan Cherki,Manchester City,England,Manchester City [England],RW / AM,2003-08-17,22,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/rayan-cherki-251570,81,EA official (per prior chat),medium,Very talented flair player; more flair than reliability.,,https://www.fcratings.com/rayan-cherki-251570,https://www.fcratings.com/assets/images/post/251570.png,2026-06-26
England,Jordan Pickford,Everton,England,Everton [England],GK,1994-03-07,32,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/jordan-pickford-204935,84,EA official (per prior chat),medium,Trusted tournament goalkeeper; mentally strong and experienced.,,https://www.fcratings.com/jordan-pickford-204935,https://www.fcratings.com/assets/images/post/204935.png,2026-06-26
England,Reece James,Chelsea,England,Chelsea [England],RB / RWB,1999-12-08,26,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/reece-james-238074,81,EA official (per prior chat),medium,Very talented powerful fullback; injuries have limited reputation.,,https://www.fcratings.com/reece-james-238074,https://www.fcratings.com/assets/images/post/238074.png,2026-06-26
England,John Stones,Manchester City,England,Manchester City [England],CB,1994-05-28,32,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/john-stones-203574,82,EA official (per prior chat),medium,Calm defensive leader and sophisticated ball-player.,,https://www.fcratings.com/john-stones-203574,https://www.fcratings.com/assets/images/post/203574.png,2026-06-26
England,Ezri Konsa,Aston Villa,England,Aston Villa [England],CB / RB,1997-10-23,28,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/ezri-konsa-227678,82,EA official (per prior chat),medium,"Reliable, athletic and coach-friendly.",,https://www.fcratings.com/ezri-konsa-227678,https://www.fcratings.com/assets/images/post/227678.png,2026-06-26
England,Marc Guehi,Manchester City,England,Manchester City [England],CB,2000-07-13,25,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/marc-guehi-241159,82,EA official (per prior chat),medium,Composed smart defender increasingly trusted internationally.,,https://www.fcratings.com/marc-guehi-241159,https://www.fcratings.com/assets/images/post/241159.png,2026-06-26
England,Djed Spence,Tottenham Hotspur,England,Tottenham Hotspur [England],RB,2000-08-09,25,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/djed-spence-243702,78,EA official (per prior chat),medium,Athletic direct fullback; less established but useful in matchups.,,https://www.fcratings.com/djed-spence-243702,https://www.fcratings.com/assets/images/post/243702.png,2026-06-26
England,Declan Rice,Arsenal,England,Arsenal [England],CDM / CM,1999-01-14,27,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/declan-rice-234378,87,EA official (per prior chat),medium,"England's midfield stabilizer; elite engine, duels and leadership.",,https://www.fcratings.com/declan-rice-234378,https://www.fcratings.com/assets/images/post/234378.png,2026-06-26
England,Jude Bellingham,Real Madrid,Spain,Real Madrid [Spain],CAM / CM,2003-06-29,22,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/jude-bellingham-252371,90,EA official (per prior chat),medium,England's biggest current star; complete midfielder with huge aura.,,https://www.fcratings.com/jude-bellingham-252371,https://www.fcratings.com/assets/images/post/252371.png,2026-06-26
England,Elliot Anderson,Nottingham Forest,England,Nottingham Forest [England],CDM / CM,2002-11-06,23,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/elliot-anderson-254243,80,EA official (per prior chat),medium,Less famous but trusted; energetic and tidy.,,https://www.fcratings.com/elliot-anderson-254243,https://www.fcratings.com/assets/images/post/254243.png,2026-06-26
England,Harry Kane,Bayern Munich,Germany,Bayern Munich [Germany],ST,1993-07-28,32,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/harry-kane-202126,89,EA official (per prior chat),medium,Captain and main No. 9; elite finisher and passer.,,https://www.fcratings.com/harry-kane-202126,https://www.fcratings.com/assets/images/post/202126.png,2026-06-26
England,Bukayo Saka,Arsenal,England,Arsenal [England],RW,2001-09-05,24,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/bukayo-saka-246669,88,EA official (per prior chat),medium,"Hugely popular, direct and decisive winger.",,https://www.fcratings.com/bukayo-saka-246669,https://www.fcratings.com/assets/images/post/246669.png,2026-06-26
England,Noni Madueke,Arsenal,England,Arsenal [England],RW,2002-03-10,24,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/noni-madueke-254796,80,EA official (per prior chat),medium,Fast aggressive winger trusted in setup.,,https://www.fcratings.com/noni-madueke-254796,https://www.fcratings.com/assets/images/post/254796.png,2026-06-26
England,Anthony Gordon,Barcelona,Spain,Barcelona [Spain],LW,2001-02-24,25,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/anthony-gordon-242964,83,EA official (per prior chat),medium,High-intensity modern pressing winger.,,https://www.fcratings.com/anthony-gordon-242964,https://www.fcratings.com/assets/images/post/242964.png,2026-06-26
England,Marcus Rashford,Barcelona,Spain,Barcelona [Spain],LW / ST,1997-10-31,28,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/marcus-rashford-231677,80,EA official (per prior chat),medium,Explosive and recognizable; form can swing but still dangerous.,,https://www.fcratings.com/marcus-rashford-231677,https://www.fcratings.com/assets/images/post/231677.png,2026-06-26
England,Eberechi Eze,Arsenal,England,Arsenal [England],CAM / LW,1998-06-29,27,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/eberechi-eze-235794,83,EA official (per prior chat),medium,Smooth dribbler and clever creator who can change a stuck game.,,https://www.fcratings.com/eberechi-eze-235794,https://www.fcratings.com/assets/images/post/235794.png,2026-06-26
England,Ollie Watkins,Aston Villa,England,Aston Villa [England],ST,1995-12-30,30,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/ollie-watkins-221697,84,EA official (per prior chat),medium,"Kane backup; fast, selfless and reliable Premier League scorer.",,https://www.fcratings.com/ollie-watkins-221697,https://www.fcratings.com/assets/images/post/221697.png,2026-06-26
England,Ivan Toney,Al-Ahli,Saudi Arabia,Al-Ahli [Saudi Arabia],ST,1996-03-16,30,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/ivan-toney-212228,81,EA official (per prior chat),medium,Physical penalty specialist with a different No. 9 profile.,,https://www.fcratings.com/ivan-toney-212228,https://www.fcratings.com/assets/images/post/212228.png,2026-06-26
Portugal,Diogo Costa,FC Porto,Portugal,FC Porto [Portugal],GK,1999-09-19,26,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/diogo-costa-234577,84,EA official (per prior chat),medium,Modern keeper with strong shot-stopping and distribution.,,https://www.fcratings.com/diogo-costa-234577,https://www.fcratings.com/assets/images/post/234577.png,2026-06-26
Portugal,Joao Cancelo,Barcelona,Spain,Barcelona [Spain],RB / LB,1994-05-27,32,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/joao-cancelo-210514,84,EA official (per prior chat),medium,Technically brilliant creative fullback; defensively adventurous.,,https://www.fcratings.com/joao-cancelo-210514,https://www.fcratings.com/assets/images/post/210514.png,2026-06-26
Portugal,Ruben Dias,Manchester City,England,Manchester City [England],CB,1997-05-14,29,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/ruben-dias-239818,86,EA official (per prior chat),medium,Portugal's defensive rock and elite organizer.,,https://www.fcratings.com/ruben-dias-239818,https://www.fcratings.com/assets/images/post/239818.png,2026-06-26
Portugal,Goncalo Inacio,Sporting CP,Portugal,Sporting CP [Portugal],CB,2001-08-25,24,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/goncalo-inacio-257179,81,EA official (per prior chat),medium,Left-footed composed passer with tactical value.,,https://www.fcratings.com/goncalo-inacio-257179,https://www.fcratings.com/assets/images/post/257179.png,2026-06-26
Portugal,Nuno Mendes,PSG,France,PSG [France],LB,2002-06-19,24,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/nuno-mendes-252145,86,EA official (per prior chat),medium,One of the world's best attacking fullbacks; absurd pace and recovery.,,https://www.fcratings.com/nuno-mendes-252145,https://www.fcratings.com/assets/images/post/252145.png,2026-06-26
Portugal,Vitinha,PSG,France,PSG [France],CM,2000-02-13,26,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/vitinha-255253,89,EA official (per prior chat),medium,Portugal's midfield brain and highest-rated FC 26 Portuguese player in prior table.,,https://www.fcratings.com/vitinha-255253,https://www.fcratings.com/assets/images/post/255253.png,2026-06-26
Portugal,Bruno Fernandes,Manchester United,England,Manchester United [England],CAM / CM,1994-09-08,31,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/bruno-fernandes-212198,87,EA official (per prior chat),medium,Chance-creation machine and emotional leader.,,https://www.fcratings.com/bruno-fernandes-212198,https://www.fcratings.com/assets/images/post/212198.png,2026-06-26
